ngrams,count
certain specified,3
romania slovakia slovenia spain,3
romania slovakia slovenia,3
romania slovakia,3
sites,3
sixty,3
ro si sk,3
ro si,3
sixty minutes,3
san marino,3
sar,3
rmbs,3
simply,3
burdens,3
sector references,3
sector entities exposures,3
sector classes,3
sector assets eligible,3
sector assets,3
secrets,3
secondary charges,3
simple average,3
second method,3
second loss,3
ccps are still,3
cds option whose underlying,3
seals,3
scrfirer,3
scrfirec,3
buffer requirement ratio,3
schema,3
scenario matrix approach c,3
simplified reporting template,3
scaling process,3
buffer rate ccb,3
scalable,3
central banks bad,3
central banks bad art,3
size measure,3
risks operational risk other risk,3
risk cva,3
bonds issuance,3
china colombia hong,3
china colombia hong kong,3
risk measure,3
bonds are eligible,3
risk management purposes,3
ci,3
smart,3
circulation,3
smart order,3
risk management policies,3
circumstance,3
bond type ssti,3
city,3
city state,3
ciu exposure,3
risk limits,3
risk instruments,3
sme growth markets,3
sme same definition,3
smooth operation,3
smooth transition,3
bond options,3
bond issuance,3
soif,3
bona fide inability,3
slt health lapse,3
risk mitigants,3
cfsp,3
chile 1 0 0 0 0 12 0 17 2 0 0 0 0 12 0 19 3 0 0 0 0 12 0 18 4 0 0 0 0 12 0 17 5 0 0 0 0 12 0 16 6 0 0 0 0 12 0 15 7 0 0 0 0 12 0 14 8 0 0 0 0 12 0 15 9 0 0 0 0 12 0 16 10 0 0 0 0 12 0 13 duration,3
risks operational risk,3
risks operational,3
risks capital charge,3
risks capital,3
risk weights breakdown,3
risk weighting,3
risk weight sum,3
sl ml 1 reporting,3
risk weight exposure value,3
change to be sufficiently,3
change to be sufficiently certain,3
risk weight exposure,3
sl ml 1 reporting timestamp,3
risk the amount,3
risk templates,3
risk template,3
risk specific risk,3
risk r0001 simplifications,3
risk premium,3
risk position,3
risk other risk exposure amounts,3
risk other risk exposure,3
risk other risk,3
risk mkr sa fx,3
risk mkr sa,3
similar function,3
business activity,3
business basis,3
service level targets,3
capital plus,3
severity distributions,3
sf,3
sft reports,3
sftp,3
cancellation flag,3
cancellable credit,3
cancellable commitments,3
separately the median value,3
separately the median,3
share premium has the same meaning,3
share r0300 nat,3
sentence crr,3
canada chile 1 0 0 0 0 12 0 17 2 0 0 0 0 12 0 19 3 0 0 0 0 12 0 18 4 0 0 0 0 12 0 17 5 0 0 0 0 12 0 16 6 0 0 0 0 12 0 15 7 0 0 0 0 12 0 14 8 0 0 0 0 12 0 15 9 0 0 0 0 12 0 16 10 0 0 0 0 12 0 13 duration,3
share r0300 nat cat,3
sensitive payment data,3
sensitive payment,3
capital which are reversible,3
share r0300 nat cat simplifications,3
shares data,3
seng,3
calendar years,3
calendar quarter,3
card receivables,3
sheet total,3
severe disruption,3
capital memorandum,3
secure manner,3
capital management plan,3
settlement currency,3
sesta,3
capital allocation,3
capital bad,3
capital bad art,3
servicing rights,3
settlement location applicable,3
capital buffer rates,3
settlement period,3
services provider,3
capital charge long,3
settlement prices,3
settlement risk exposure,3
capital element,3
capital element respective,3
settlement risk exposure amount,3
settlement type,3
capital ias,3
several contractual,3
several contractual arrangements,3
several entities,3
several member,3
several member states,3
capital instruments transitionally,3
capital management,3
cable,3
short long short long,3
short net,3
case no equivalence,3
sign convention,3
business rules applicable,3
business rules,3
significant adaptations,3
securities settlement,3
securities owner,3
business plan assumptions,3
securities lending transaction,3
cash flow hedge reserve,3
cash flow hedges ifrs,3
cash flow hedges reserve,3
significant decline,3
significant impact,3
securities financing transaction,3
significant investments,3
significant investmenttemporary,3
significant number,3
significant period,3
significant position,3
significant proportion,3
cash settlement location applicable,3
securities are capable,3
cash withdrawals,3
securely,3
secured funding,3
securitisation positions the exposure,3
securitisation positions the exposure values,3
sight deposits,3
securitisations mkr sa sec,3
security issuers,3
short period,3
security interest,3
bx swiss,3
bx,3
security council,3
buyi,3
securitization,3
securitised exposures securitisation,3
securitisations positions,3
case the pool,3
securitisations mkr sa,3
securitisation positions the risk,3
securitisations mkr,3
shrs,3
securitisation structure,3
si sk,3
securitisation special purpose,3
securitisation special,3
securitisation scheme,3
securitisation r0481 transitional type 1 securitisation,3
securitisation r0481 transitional type,3
business this cell,3
securitisation r0481 transitional,3
class retail,3
bona fide,3
related instruments,3
relevant staff,3
commercial register,3
banks bad art,3
banks bad,3
relevant persons principally,3
commission expense,3
commission expenses bad,3
commission expenses bad art,3
commission income bad,3
commission income bad art,3
relevant part,3
relevant order data,3
relevant order,3
relevant new sources,3
relevant new,3
commission pursuant,3
commission valdis,3
commission valdis dombrovskis,3
relevant month end date,3
standard formula calculation,3
relevant month end,3
relevant month,3
relevant member state,3
banking activities subject,3
relevant member,3
standardised insurance,3
staff directly,3
basel committee,3
standardised insurance product information,3
commercial papers,3
spending,3
spot contracts,3
remote payment,3
colleges,3
remote electronic payment transaction,3
colombia hong,3
colombia hong kong,3
colombia hong kong india,3
remittance,3
combined buffer requirement ratio,3
basis risk,3
reliably,3
commander,3
reliable indicator,3
relevant union,3
sspe,3
basic agreement,3
relevant type,3
relevant transaction,3
commercial fire,3
ssx,3
commercial fire risk,3
baseload,3
relevant trading venues,3
basel provisions,3
standardised insurance product,3
committed credit facilities,3
bona,3
bad art 4 assets ias,3
commodity segmentation,3
commodity segmentation criterion,3
commodity swap,3
commodity swaps calculation,3
relevant benchmark,3
common equity tier 1 instruments,3
common institutional,3
common institutional framework,3
relevant appropriately diversified indices,3
relevant appropriately diversified,3
relevant appropriately,3
awareness,3
aviation risk,3
average value,3
stock exchanges are subject,3
relevant accounting standard,3
average tax rate approach,3
communication sessions,3
relative share,3
community institutions,3
stock index futures,3
related trades,3
stock index options,3
average risk weight exposure,3
related services,3
commodity price,3
commodity options calculation,3
standards compatible,3
statistical classification,3
committed liquidity,3
bank accounting directive,3
relevant financial instruments,3
bank accounting,3
relevant event,3
relevant elements,3
commodities mkr,3
commodities mkr sa,3
commodities mkr sa com,3
commodities risk,3
commodities risks operational,3
commodities risks operational risk,3
standby letters,3
commodities subject,3
state accordingly,3
bands,3
state policy,3
commodity future,3
commodity option,3
balance sheet total,3
relevant class,3
balance recoveries,3
relevant change,3
bakr,3
static,3
rental,3
bear losses,3
collateralised loans,3
client has the necessary experience,3
best execution obligation,3
resumption,3
best available independent data,3
restructuring plan,3
best available independent,3
specialized lending exposures,3
specific capital,3
specific collateral,3
benefits ias,3
respective maturity,3
specific combination,3
specific conditions,3
specific conflicts,3
benefit obligations ias,3
respective category,3
respective a deduction,3
benefit liabilities,3
resource,3
resolvability,3
resolution valuations,3
clock,3
clock synchronisation,3
benefit assets,3
resolution tools,3
resolution scheme,3
special purpose entity,3
retirement provision,3
replies,3
client concerned,3
risk control systems,3
risk control function,3
risk concentrations,3
body reasons,3
risk concentration c0300 debt portfolio,3
risk concentration c0300 debt,3
body member 1 name contact,3
body member 1 name,3
solvency treatment,3
board fully,3
risk capital charge,3
risk ava pruval,3
sophisticated approaches,3
sophisticated risk,3
sophisticated risk mitigation,3
sophisticated risk mitigation calculation,3
soundly,3
sovereign issuer,3
bias,3
clear indication,3
risk adjustment,3
spanish,3
best way,3
rigorous,3
reversible,3
beneficial,3
benchmarks pursuant,3
benchmarking exercise,3
specific description,3
request cooperation,3
repute,3
reputational,3
reputation,3
repurchase transaction,3
republic j,3
collateral haircut,3
collateral has an effect,3
specific risk specific,3
specific risk specific risk,3
specific risks,3
representatives,3
collateral nominal,3
collateral nominal amount,3
specific rules,3
collateral quantity,3
specific share,3
specific standards,3
collateral reuse,3
specific tasks,3
reportable event,3
collateral taker,3
collateral the borrower,3
report assets,3
collateral value,3
request information,3
specific reporting entity,3
specific reporting,3
specific manuals,3
resolution board,3
closing balances,3
resilient,3
closing share,3
coal natural,3
coal natural gas,3
resets,3
specific legal,3
reserve system,3
code lei,3
code lei code,3
reserve management,3
requests treatment,3
reservations,3
requirements which are equivalent,3
requirements weights,3
requirements that are equivalent,3
specific obligor,3
collaboration,3
collars,3
specific obligor grade,3
collateral arrangements,3
requirement ratio,3
collateral cash,3
transit,3
threshold values,3
settlement amount,3
unexecuted,3
undrawn committed liquidity,3
weight exposure,3
number 8 digits,3
data features,3
parallel,3
aif client,3
website authentication,3
package order have the same underlying,3
norway switzerland australia,3
agricultural commodity swaps,3
wealth,3
agricultural commodity segmentation criterion,3
ownership structure,3
agricultural commodity segmentation,3
ownership nature,3
ownership financing,3
undrawn committed facilities,3
nslt health premium,3
weight exposure value,3
weight sum,3
notably,3
acronym,3
des,3
weighted average price,3
weighted average credit quality,3
notices,3
notification process,3
part b,3
notify esma,3
action type the report,3
actionable indication,3
undertakings related,3
derivatives subject,3
weight weighted,3
underwriting process,3
data loan principal,3
data loan principal amount,3
unexpected losses,3
actual risk,3
observable market price,3
observation period,3
data reporting service providers,3
obstacles,3
own funds fully,3
aggregated portfolios,3
aggregated loss distributions,3
volume omission,3
data sources,3
occupational retirement,3
unique rating,3
occupational retirement provision,3
unique rating system,3
oecd,3
data stream,3
aggregated transactions,3
vulnerable,3
agricultural commodity options,3
aggregation flag,3
own trading,3
agricultural commodity futures,3
own securities,3
own risk,3
obligation set,3
derivatives a financial instrument,3
derivatives a financial,3
obligations ias,3
own issuances,3
own interests,3
data na,3
obligations pursuant,3
aggressive,3
data protection regulation,3
own funds requirements determined,3
norway switzerland australia brazil,3
norway switzerland,3
payments vademecum,3
unavailable,3
diagnostic tools,3
past experience,3
diagnostic,3
alphanumeric characters,3
unauthorised use,3
withdrawals,3
withdrawal greater,3
passage,3
weighted average risk weight,3
unchanged,3
accountability framework,3
nl no pl,3
windstorm r0400 hail r0410 earthquake r0420 flood,3
partnerships,3
accountants,3
windstorm r0400 hail r0410 earthquake,3
next maturity date,3
next maturity,3
payment data,3
payment fraud,3
new sources,3
payment systems infrastructure,3
new trade report,3
worse,3
alternative arrangements,3
payment provider,3
different asset classes,3
payment processes,3
unadjusted differences,3
differences net,3
new zealand russia singapore,3
payment instrument,3
cy,3
account potential,3
workout,3
determinations,3
determinant,3
windstorm r0400 hail,3
particular categories,3
accounting rules,3
accounting standards compatible,3
accounting statements,3
participants as quickly,3
allowance accounts,3
weights breakdown,3
partially consolidated,3
allocation methodology,3
allocation keys,3
norm,3
acknowledge receipt,3
partial fill,3
partial executions,3
partial conversion,3
weighted average term,3
data aggregation,3
particular commodity,3
parties concerned,3
accounting references,3
accounting firms,3
particularly susceptible,3
nominal amount provisions,3
daily aggregated,3
wholly,3
accounting overisght board,3
accounting portfolio references,3
unconditional,3
unconditionally cancellable commitments,3
unconditionally cancellable credit,3
particular investment,3
allowance trading,3
particular features,3
whenever necessary,3
particular considering,3
unique transaction identifier,3
own common equity,3
aggregate number,3
addressees,3
administrative costs early termination,3
administrative costs early,3
definition set,3
original trade report,3
vademecum,3
valdis,3
debt instruments subject,3
original lenders,3
database,3
original issuance,3
valdis dombrovskis,3
opr template,3
debt portfolio share r0300 nat,3
original exposure value,3
option contracts,3
option ifrs,3
values are rounded,3
usefulness,3
useful effect,3
administrative procedures,3
deliverable fx options,3
deliverable forward,3
upper,3
operationally independent,3
advanced measurement approaches ama,3
advanced data,3
delegate,3
degrees,3
otf apa ctp transaction,3
urgently,3
opposite,3
adr,3
administrative units,3
use segment,3
use segment mics,3
organised market,3
organisations exposures,3
debts,3
value hedge cash,3
order have the same underlying,3
valuation the total,3
valuation the total ava,3
valuation the valuer,3
adjustment risk cva,3
order identification code,3
order instructions,3
order routers,3
order restrictions,3
default classification,3
adjusted value ga,3
adjusted exposure values,3
deductions which are outside,3
order processing,3
value c,3
value ga,3
value hedge cash flow,3
validity date,3
default management,3
value reserves,3
defence,3
options a stock,3
decision algorithms,3
valuation pursuant,3
value option ifrs,3
adequate information,3
orders that are large,3
oral,3
orange,3
order data,3
order details,3
order execution processes,3
default management process,3
orderly trading,3
dddddd,3
dcs,3
operational risk other risk exposure,3
universal,3
depreciation,3
deposits ias,3
deposits bad art,3
deposits bad,3
overisght,3
date the forbearance,3
agent lender,3
depository,3
depositor,3
date the forbearance measures,3
vessels number,3
omx copenhagen,3
ongoing charges,3
unnecessary,3
ongoing costs,3
overisght board,3
overnight original,3
ongoing information,3
overnight original maturity,3
own common,3
offer price,3
aggregate level,3
derivative markets,3
aggregate amount,3
united nations,3
united nations security,3
overpayments,3
united nations security council,3
agent sfts,3
date format,3
official certificate,3
officials,3
date format dates,3
offsets,3
unpaid portion,3
ongoing information requirements,3
deliverable fx swaps,3
advisory services,3
unrestricted,3
advisers,3
dbv,3
advice services,3
vatican city state,3
vatican city,3
vatican,3
demand deposits ias,3
demand deposits bad,3
additional risk weight,3
delivery type,3
adversely impact,3
delivery risk position,3
delivery date,3
operational risk other risk,3
unreliable information,3
unregulated financial entities breakdown,3
ongoing relationship,3
outsourcing arrangement,3
dependence assumptions,3
date when the clearing,3
date when the clearing obligation,3
african,3
unrated positions,3
ongoing trading,3
overall analysis,3
outstanding shares,3
outstanding securitisations,3
unrealised amount,3
venue electronically,3
open interest,3
venture,3
day count,3
operating models,3
alternative dispute,3
weighted average credit,3
different classes,3
custody chain,3
different member,3
different member states,3
net interest,3
current price,3
perfect dependence,3
type ssti,3
currencies closely,3
ama capital,3
performance calculation,3
net exposure basis,3
years deliverable,3
currencies subject,3
dioxide equivalent 30 40 50 60 emission allowance,3
personal recommendations,3
years energy,3
years energy commodity,3
different products,3
currency amount,3
číslo,3
nations,3
nations security,3
current reporting reference date,3
amount general,3
persons principally,3
ctp transaction,3
ucits management companies,3
netting arrangement,3
direct credit substitutes,3
pension saving,3
direct credit,3
netherlands poland,3
pensioners,3
physical collateral,3
physical asset,3
direct charges,3
amount general allowances,3
current year amount,3
petroleum,3
year amount,3
perspective,3
translation ias,3
dioxide equivalent emission allowance,3
alternative standardised,3
different market,3
yearly,3
ama own funds requirement,3
ama permission,3
amount carrying amount,3
diffusion,3
years r0680 maximum lac dt,3
transparent rules,3
treatment securitisation,3
current ca1 template,3
abilities,3
difficult,3
difficulty,3
periodic suitability,3
necessary experience,3
zealand russia singapore south,3
treatment securitisation positions,3
abu bakr,3
yes n,3
necessary technical,3
transportation,3
periodic basis,3
necessary steps,3
currency translation ias,3
zealand russia singapore,3
periodic auction,3
years r0680 maximum lac,3
negative sign,3
net cash flows,3
trend,3
permit institutions,3
nations security council,3
net amount payable,3
net accounting directive art,3
net accounting directive,3
net accounting,3
abusive behaviour,3
different situations,3
negligible,3
amortisations,3
amount amount,3
near,3
years r0680 amount,3
zonation,3
necessary assistance,3
different trading,3
period generally,3
necessary data,3
treatment that shareholders,3
years r0680 maximum,3
accident concentration,3
dioxide equivalent 5 emission allowance,3
direct investment,3
peer,3
new member,3
new business activities,3
national capital,3
xoff,3
different components,3
account correlation,3
name member state,3
amount payable,3
pieces,3
ctp floor,3
customer has the necessary,3
customer has the necessary knowledge,3
national accounting standards compatible,3
customers the amount,3
peakload,3
customer detriment,3
national accounting standards,3
customer protection,3
national bank,3
name member,3
alternative dispute resolution,3
pipeline,3
account correlation effects,3
specific share all stock,2
settlement facilities,2
specific sub,2
venue initiator,2
institution the amount,2
governments that are central governments,2
governments that are central,2
specific time,2
instruments regulation,2
governments that are international organisations,2
instruments investments,2
governments that are international,2
zloty poland 11 króna iceland,2
specific sub product,2
specific share all stock dividend,2
institution that was totally,2
shares profit,2
specific statistical,2
shares all index,2
states which have the purpose,2
specific statistical domains,2
venue concerned,2
ventures ias,2
guarantee schemes,2
share premium equity instruments,2
value etcs,2
instruments c,2
spite,2
international finance,2
splinter,2
settlement finality,2
splinter group,2
government department,2
institution tool,2
share premium equity,2
vehicle liability insurance,2
العراق والشام,2
states documents equivalent,2
العراق,2
spot leg,2
spouse,2
vehicles 060 custody,2
international data transfers,2
institution type,2
speculative,2
specific trade,2
sheet netting agreements,2
specific transaction,2
government counterparty,2
share price,2
share premium ias,2
specific values,2
instruments debt securities loans,2
international data,2
instruments debt securities,2
vendor,2
instruments debt,2
vehicles 060 custody assets,2
specified time horizon,2
governments financial corporations non,2
guarantee fund,2
interview,2
static determinations,2
value credit risk,2
internal threshold,2
visible orders,2
في العراق,2
gs template,2
insufficient debt service,2
insufficient debt,2
violence,2
vfcr,2
instruments when the applicable accounting standards,2
shipment,2
instruments when the applicable accounting,2
statutory auditor,2
gu guadeloupe,2
vfar,2
value credit,2
insufficient debt service ability,2
specific products,2
statutory claims,2
vm,2
voice trading,2
في العراق والشام,2
yields,2
internal risk control systems,2
intra financial,2
voice negotiation,2
shipping guarantees,2
step 0 1 2 3 4 5 6 bi,2
vlbmzpyctcu,2
shipping,2
specific principles,2
value ci,2
insufficiently the risk,2
steps cras,2
zimbabwe defence,2
intra,2
specific route,2
instruments when the applicable,2
value ei,2
institution pursuant,2
intitution,2
interviews,2
instruments to which the liquidity,2
instruments the median,2
sheet nominal,2
venue segment,2
zloty poland 11 króna,2
sheet netting positions,2
instruments the amount,2
instruments that are neither,2
vehicle liability,2
instruments that are financial instruments,2
instruments that are financial,2
statistical domains,2
instruments to which the liquidity test,2
value credit risk mitigation,2
specific risk charge,2
في,2
specific restrictions,2
internal validation governance,2
intr,2
internal validation reviews,2
vertical slice,2
institution properly,2
sheet nominal amount,2
venues to immediately,2
venue specifications,2
venue specification,2
venue segment mic,2
instruments total risk exposure,2
instruments total risk,2
international financial centre,2
spread betting contract a cfd,2
states documents,2
الإسلامية في,2
governments financial,2
value option 42 f,2
interoperability,2
valueifrs,2
value which the market data,2
value which the market,2
institutions which have exposures,2
values subject,2
standard deviations,2
standard format,2
governments credit institutions other financial,2
standards concerned,2
الدولة الإسلامية,2
settlement transactions derivatives,2
severe financial,2
van,2
standardised securitisation,2
instrument reference data,2
staffing,2
institutions the amount,2
stage 2 transfers,2
stage 3 transfers,2
var multiplication factor,2
σ,2
الإسلامية,2
van ondernemingen,2
governments financial corporations,2
severe financial problems,2
instrument reference,2
var multiplication,2
stamp duty,2
var calculations,2
value option references,2
value threshold value etcs,2
institutions that are subject,2
الإسلامية في العراق والشام,2
instrument full name full,2
standard parameters,2
value reserves accounting directive,2
standardisation,2
standardisation organisations,2
الإسلامية في العراق,2
standardised approach exposure,2
several financial,2
standardised approach exposure value,2
interpretation initially,2
value references,2
standardised approach sa exposure,2
instrument back,2
instructions 010 total exposures,2
الدولة,2
several financial instruments,2
instrument identification code unique,2
value the gross,2
interpolation,2
value the gross carrying amount,2
governments credit institutions,2
value the gross carrying,2
instructions 010 code,2
several securities,2
governments credit,2
standardised name,2
instrument identification code code,2
value securitisation positions,2
value securitisation,2
value same definition,2
standard notification,2
standard notification templates,2
staff training,2
instrument rm,2
international financial institution,2
state systemic,2
international monetary fund,2
various time buckets,2
instruments 160 debt securities,2
various time,2
instruments 160 debt,2
ssh,2
instruments 150 commitments,2
instruments accounting directive,2
instruments 040 debt securities,2
ssh file,2
instruments 040 debt,2
ssh file transfer,2
interval,2
share premium account,2
international monetary,2
spread price,2
interrelated,2
share premium bad,2
instruments are likely,2
value hedges ifrs,2
share premium bad art,2
settlements ias,2
state systemic risk buffer,2
spread option 230 total,2
state systemic risk,2
instruments accounting directive art,2
international financial reporting interpretations,2
instruments all volatility index,2
institutions additional,2
instruments all volatility,2
spread option 230 total return,2
institutions additional information,2
ssh file transfer protocol,2
instrument whose cash flows are determined,2
variability drivers,2
value negative,2
ssx rule,2
ssx rule book,2
variable joint costs,2
sfps determined to have a liquid market,2
variable joint,2
instrument transaction,2
stability policies,2
variable nominal,2
stable retail,2
stable retail deposits,2
sfps determined to have a liquid,2
value negative value,2
الدولة الإسلامية في,2
value nominal,2
institutions sector,2
value measures,2
state concerned,2
various technical,2
الدولة الإسلامية في العراق,2
share calculation,2
sfts subject,2
international organization,2
various thresholds,2
value hedges movements,2
handelsregisternummer,2
voice trading system,2
číslo osoby,2
instrument whose cash,2
value hedges references,2
sft transaction,2
various factors,2
value hierachy,2
short market,2
gradually,2
specific obligations,2
gross contractual flows,2
whenever certain requirements,2
whenever certain,2
whenever a material change,2
whenever a material,2
sl subject,2
slovakia 13 euro,2
slovakia 13 euro slovenia,2
interest rate options,2
slovakia 13 euro slovenia 13 euro,2
signs element credit,2
slovenia 13 euro,2
slovenia 13 euro spain,2
signs element,2
significant reliance,2
slovenia 13 euro spain 13 czech,2
slovenia j,2
interest rate derivative,2
internal consistency,2
internal compliance,2
void,2
gross contractual,2
wider,2
similar facilities available,2
similar facilities,2
skewness,2
greater sahel,2
wholesale energy product,2
sl flag,2
whole period,2
whole outstanding amount,2
similar contractual terms,2
similar contractual,2
similar balances,2
similar arrangement,2
whole outstanding,2
xxiv,2
whereby the value,2
greater level,2
xxv,2
slow,2
west africa province,2
weights institutions,2
year r0670 lac dt,2
small size,2
interest management,2
weighted exposure amount memorandum,2
internal control system,2
smaller institutions,2
smallest,2
years collateral,2
weighted average risk weights,2
significant functions,2
gross omnibus account,2
gross omnibus account structure,2
significant deviation,2
smart order routers,2
significant cost,2
gross omnibus indirect accounts,2
gross performance,2
interest payments,2
small groups,2
sm collectivity,2
year r0670 lac,2
year bad,2
year bad art,2
interest rate contracts,2
slow traders,2
weights 070 total own funds,2
weights 070 total own,2
gross loss gross,2
gross loss gross loss,2
slt technical provisions,2
interest rate contract,2
internal control structure,2
gross loss net,2
weights 070 total,2
gross losses,2
slt health lapse rates,2
slt technical,2
willing,2
sk uk,2
xv,2
workers,2
works,2
x symbol,2
simplified scr calculation,2
simpler account,2
workout procedures,2
xii,2
simulations,2
intermediation activity,2
simple risk weight aprroach,2
simultaneous occurrence,2
single compliance,2
single compliance statement,2
xiii,2
single country,2
single event,2
interface when the launch,2
similarily,2
world,2
interim dividends ias,2
greece 13 euro ireland 13 euro,2
simpler choice,2
interim net loss,2
interim net,2
simplification pooling,2
simplification grouping,2
simpler control structure,2
wrong,2
simpler control,2
simplification pooling arrangements,2
greece 13 euro ireland,2
intermediate,2
interim dividends minority interests,2
simpler account structure,2
worldwide,2
interim dividends minority,2
greece 13 euro,2
simplified scr,2
working days var,2
work plan,2
sk slovak republic,2
similar risk profile,2
single resolution fund,2
withdrawable central,2
single underlying,2
greatest extent,2
sint,2
siren,2
gross amounts,2
siren 9 digits,2
gross amounts receivable,2
internal assesment approach long,2
sixteen,2
sixteen weeks,2
sixteen weeks prior,2
internal assesment approach risk,2
similar instruments,2
similar incentives,2
sk slovak,2
withdrawable central bank,2
interest rate swaptions,2
withdrawable central bank reserves,2
interest rate warrants,2
internal arrangements,2
similar risk,2
work experience,2
witness,2
similar reasons,2
single fund,2
single insurance,2
single insurance policies,2
single party,2
green background,2
similar nature,2
single legal,2
single line,2
single market,2
single name exposure,2
xix,2
weighted average pd,2
smi,2
grants permission,2
group subsidiaries,2
insurance risk mapping,2
group recovery,2
insurance recognition,2
group recovery plans,2
grant participants,2
insurance products 170 other 180 structured finance,2
insurance products 170 other 180 structured,2
voluntarily,2
volume tests,2
grant credits,2
group solvency capital,2
group solvency capital requirement,2
volume omission flag rm,2
grand duchy,2
internal process,2
volume omission flag,2
specific credit risk adjustment,2
insurance risk mapping process,2
group own funds,2
insurance risks,2
specific balance,2
group financial support,2
group h,2
group insurance,2
si sk uk,2
specific allocation,2
specific amount,2
specific aspect,2
specific balance sheet,2
specific collateral arrangement,2
specific base,2
specific base product,2
waiver thresholds,2
insurance securitisation,2
insurance sector,2
group members,2
group own,2
grand,2
voli,2
special regime requirements,2
volatility parameter return dividend,2
specific exposure,2
specific framework,2
volatility index option,2
yield curve,2
insurance derivatives,2
internal records,2
short net positions,2
specific indirect,2
specific indirect client,2
governments the median,2
specific legal professional,2
volatility index future,2
groups which are subject,2
short name,2
short market value,2
specific legal professional privileges,2
volatility index calculation,2
insurance distribution directive,2
short positions 064 deposits,2
short positions 064 deposits ecb,2
short sales,2
volatility parameter return,2
internal processes,2
shorter time frame,2
shorter time,2
group which intermediate,2
volatility parameter,2
short term,2
short positions frs,2
specific exit conditions,2
greatest extent possible,2
specific details,2
specific distribution,2
yellow,2
specific distribution strategy,2
specific exit,2
insurance firms,2
special treatment,2
warranties,2
gross premium,2
webpage,2
internal loss,2
solvency rules applicable,2
intentions,2
internal loss data,2
significant capital,2
sophisticated approach,2
sophisticated approach previously,2
significant buying,2
weight aprroach,2
weeks average measure last,2
sophisticated approach previously applicable,2
internal master,2
ground,2
internal master scale,2
weekly reports,2
wednesday,2
internal matching,2
solvency profiles,2
solvency capital requirement standard,2
interactions,2
institution level,2
social security number,2
gross premium risk,2
gross provisions,2
interest cost ias,2
gross provisions eligible,2
interest cost,2
solo fully,2
solo partially,2
significant capital investments,2
solution,2
weighted amounts,2
years deliverable fx,2
internal documentation,2
significant change,2
internal guarantees,2
weight groupings,2
sors,2
south african,2
special regime,2
sovereign entity,2
group financial,2
special accounting rules,2
special attention,2
years past,2
siav,2
integer number,2
special considerations,2
special precautions,2
special provisions,2
special purpose entities,2
way accessible,2
special purpose entities asset,2
years portfolio,2
years portfolio swaps,2
intangible assets are the intangibles assets,2
intangible assets are the intangibles,2
internal organisation,2
integer values,2
integers,2
way across,2
spain 13 czech,2
internal matching system,2
group auditor,2
years metal,2
significant activities,2
ways,2
years metal commodity,2
group code,2
signatures,2
special accounting,2
spain 13 czech koruna,2
spain 13 czech koruna czech,2
internal models mkr,2
span,2
way equivalent,2
spanish individuals,2
way consistent,2
sterling united kingdom 20 romanian,2
identifikacijski broj,2
institution ias,2
total deferred tax assets,2
unambiguous identifier,2
total counterparty,2
total counterparty credit,2
total counterparty credit risk,2
hu pl ro,2
total credit risk,2
total credit risk adjustments,2
total criminal,2
hu pl ro si,2
total debt instruments 150 commitments,2
total deferred tax liabilities,2
hu ie,2
total derecognition,2
incoming,2
total equal,2
total event,2
total event types,2
income side,2
income references national gaap,2
income references national,2
total exposures c,2
income protection insurance,2
hu pl,2
unambiguous manner,2
total own funds pursuant,2
total assets bad,2
uncertain,2
independent public,2
toor,2
topix,2
total absolute,2
total absolute value,2
html 8 digits,2
independent investment adviser,2
total allowance,2
total amount institutions,2
total assets bad art,2
unambiguously,2
total assets ias,2
unauthorised party,2
total breakdown,2
unaudited profit,2
total carrying amount,2
unaudited,2
indemnities,2
unattended terminals,2
total core,2
total core approach,2
income protection,2
umbrella,2
total exposures total amount,2
total notional amount,2
incidental costs performance,2
incidental costs,2
total loss recovery,2
total net,2
total net cash,2
total net cash flows,2
ucits management company,2
total nominal amount,2
hungary j,2
inception value,2
total notional amounts,2
ultimately responsible,2
total numerical,2
ucits kiid,2
ucits investment management company,2
total operational,2
total operational risk,2
total operational risk exposure,2
ucits investment management,2
ucits investment,2
total original exposures,2
total outflows notional,2
uk united,2
incidental costs performance fees,2
total loss amount,2
total loans,2
total exposures total exposures,2
total grandfathered,2
total gross carrying,2
total gross carrying amount,2
ultimate parent company,2
total gross provisions,2
total gross provisions eligible,2
ultimate date,2
income expenses 010 020 010 changes,2
hungary 3 krona,2
hungary 3 krona sweden,2
total inflows cqs,2
total instruments,2
total interim,2
total interim net,2
income breakdown,2
income balance,2
total interim net loss,2
total liabilities bad,2
total liabilities bad art,2
uk united kingdom,2
independent public oversight,2
title transfer collateral,2
title transfer,2
thus a credible,2
indicative date,2
underlying volatility index calculation,2
threshold non,2
threshold non deductible,2
underlying volatility index,2
threshold value etcs,2
underlying volatility,2
intra financial sector,2
underlying variables,2
underlying shipment,2
thus a credible framework,2
underling instrument,2
underlying etf calculation,2
ticks,2
tier 1 capital institutions,2
tier 1 capital qualifyingown,2
underling instrument when the options,2
tier 1 capital qualifyingown funds,2
tier 1 capital qualifyingtier,2
tier 1 capital qualifyingtier 1 instrumentsincluded,2
house acting,2
tier 1 instruments that an institution,2
threshold 150 use,2
host contract,2
underlyings,2
indicator indication,2
indirect client basis,2
territories that region,2
indirect client are pivotal,2
undertaking trading,2
undertaking has obligations,2
indirect client all the way,2
undertaking has no hedging,2
indirect clearing services pursuant,2
